water_level,precipitation,temperature,humidity,visibility,wind,weather,pressure,fire,wl_change,temp_change,pressure_change
"468,0","0,0","24,9","31,0","100,0","4,0","0,0","993,8","4,0","-3,0","-0,3","-0,4"
"140,0","0,0","27,9","22,0","20,0","1,0","0,0","1004,1","4,0","-2,0","0,6","-1,0"
"464,0","0,0","25,6","28,0","20,0","2,0","1,0","1001,2","4,0","-7,0","-1,8","-0,3"
"467,0","0,0","26,7","26,0","100,0","3,0","0,0","992,3","4,0","-1,0","1,2","-1,3"
"138,0","0,0","29,1","22,0","20,0","1,0","0,0","1001,3","4,0","-2,0","2,5","-1,3"
"461,0","0,0","27,2","30,0","20,0","3,0","0,0","999,9","4,0","-3,0","-0,8","-0,7"
"459,0","16,0","21,0","88,0","10,0","1,0","3,0","987,3","5,0","-1,0","1,6","1,3"
"500,0","2,0","18,2","93,0","10,0","1,0","8,0","996,6","4,0","-2,0","-8,0","2,6"
"459,0","16,0","21,0","88,0","10,0","1,0","3,0","987,3","5,0","-1,0","1,6","1,3"
"500,0","2,0","18,2","93,0","10,0","1,0","8,0","996,6","4,0","-2,0","-8,0","2,6"
"341,0","0,0","24,7","50,0","10,0","2,0","0,0","993,9","4,0","-10,0","1,1","-1,9"
"333,0","0,0","24,9","54,0","10,0","1,0","1,0","987,1","4,0","-8,0","0,7","0,3"
"189,0","0,0","29,0","30,0","4,0","2,0","1,0","997,2","4,0","-3,0","1,0","-0,6"
"203,0","0,1","20,2","89,0","10,0","2,0","8,0","991,9","4,0","-4,0","-5,6","0,0"
"284,0","0,0","16,6","57,0","100,0","2,0","2,0","1014,6","4,0","-11,0","6,0","1,0"
"190,0","0,0","14,3","76,0","100,0","1,0","0,0","1013,0","4,0","-12,0","3,1","1,3"
"271,0","0,0","22,9","37,0","100,0","4,0","0,0","1008,7","4,0","-13,0","1,5","-2,0"
"177,0","0,0","22,6","38,0","100,0","5,0","0,0","1007,6","4,0","-13,0","2,4","-1,9"
"259,0","0,0","17,2","79,0","100,0","2,0","1,0","1006,7","4,0","-12,0","1,8","0,7"
"167,0","0,0","17,6","85,0","100,0","2,0","1,0","1005,0","4,0","-10,0","2,1","0,2"
"248,0","0,0","25,5","51,0","100,0","2,0","0,0","1011,2","4,0","-11,0","5,2","0,0"
"159,0","0,0","25,1","56,0","100,0","2,0","0,0","1010,2","4,0","-8,0","4,7","0,3"
"237,0","0,0","16,3","88,0","100,0","1,0","2,0","1011,2","4,0","-11,0","0,0","0,0"
"150,0","0,0","15,6","93,0","100,0","2,0","2,0","1009,9","4,0","-9,0","-1,3","0,2"
"225,0","0,0","18,3","80,0","100,0","1,0","2,0","1006,4","4,0","-12,0","-0,1","-0,6"
"144,0","0,0","16,8","91,0","100,0","2,0","2,0","1005,7","4,0","-6,0","-0,5","-0,8"
"450,0","0,0","19,8","76,0","20,0","3,0","2,0","1007,2","4,0","-8,0","-0,3","-0,4"
"140,0","0,9","17,5","95,0","100,0","2,0","3,0","997,9","4,0","-4,0","0,4","-1,1"
"138,0","0,0","20,9","50,0","100,0","4,0","0,0","1004,4","4,0","-2,0","5,4","-0,3"
"134,0","0,0","22,5","44,0","100,0","3,0","2,0","1009,0","4,0","-4,0","6,8","0,1"
"131,0","0,0","26,7","43,0","100,0","3,0","1,0","1009,2","4,0","-3,0","3,8","-0,8"
"127,0","0,0","24,1","59,0","100,0","1,0","0,0","1008,9","4,0","-4,0","3,9","0,0"
"103,0","0,0","20,2","60,0","10,0","2,0","2,0","1009,8","4,0","-11,0","10,8","1,0"
"123,0","0,0","22,3","74,0","100,0","2,0","2,0","1013,2","4,0","-4,0","8,3","0,4"
"144,0","0,0","18,3","66,0","20,0","1,0","0,0","1012,2","4,0","-2,0","11,6","1,2"
"94,0","0,0","27,6","34,0","10,0","3,0","0,0","1009,7","4,0","-9,0","-0,9","-1,0"
"130,0","0,0","21,6","46,0","10,0","1,0","2,0","1011,8","4,0","-1,0","-0,7","-0,5"
"120,0","0,0","28,1","37,0","100,0","2,0","0,0","1014,2","5,0","-3,0","-0,3","-1,1"
"142,0","0,0","25,2","33,0","20,0","2,0","2,0","1011,3","4,0","-2,0","-0,5","-1,2"
"85,0","0,0","19,7","68,0","10,0","2,0","2,0","1009,9","4,0","-9,0","12,8","0,2"
"129,0","0,0","19,2","61,0","10,0","1,0","2,0","1012,5","4,0","-1,0","10,8","0,2"
"116,0","0,0","20,8","59,0","100,0","1,0","0,0","1013,5","4,0","-4,0","11,5","-0,5"
"140,0","0,0","17,9","65,0","20,0","1,0","2,0","1012,3","4,0","-2,0","11,3","0,4"
"80,0","0,0","20,1","63,0","10,0","1,0","0,0","1008,1","4,0","-5,0","10,2","0,1"
"114,0","0,0","20,8","75,0","100,0","1,0","2,0","1011,1","4,0","-2,0","7,7","-0,1"
"74,0","0,0","21,2","66,0","10,0","2,0","1,0","1002,6","4,0","-6,0","4,1","-0,7"
"251,0","0,0","25,7","48,0","20,0","1,0","1,0","1007,7","4,0","-2,0","5,1","-0,2"
"179,0","0,0","26,4","43,0","10,0","1,0","0,0","1006,2","4,0","-1,0","7,6","-0,6"
"509,0","0,0","24,1","51,0","100,0","1,0","0,0","1010,0","4,0","-5,0","5,5","-0,3"
"132,0","0,0","25,7","46,0","20,0","2,0","0,0","1004,7","4,0","-4,0","7,1","-0,5"
"240,0","0,0","25,7","43,0","20,0","3,0","2,0","1002,3","4,0","-3,0","4,9","-0,3"
"69,0","0,0","27,2","49,0","10,0","3,0","0,0","1006,2","4,0","-5,0","5,3","0,2"
"469,0","0,0","26,8","46,0","20,0","3,0","0,0","994,9","4,0","-8,0","6,6","-0,5"
"127,0","0,0","19,5","43,0","10,0","1,0","2,0","1007,5","4,0","-1,0","3,5","-0,1"
"249,0","0,0","19,6","38,0","20,0","3,0","2,0","1011,1","4,0","-2,0","4,0","0,1"
"178,0","0,0","21,2","38,0","10,0","2,0","2,0","1009,6","4,0","-1,0","3,8","0,2"
"506,0","0,0","20,8","39,0","100,0","3,0","2,0","1014,0","4,0","-3,0","3,4","0,2"
"129,0","0,0","21,2","61,0","20,0","4,0","0,0","1008,2","4,0","-3,0","4,1","0,3"
"236,0","0,0","22,9","39,0","20,0","3,0","2,0","1005,9","4,0","-4,0","5,2","-0,4"
"64,0","0,0","24,9","45,0","10,0","2,0","2,0","1008,5","4,0","-5,0","4,9","-0,7"
"451,0","0,0","24,9","46,0","100,0","3,0","0,0","998,4","4,0","-18,0","4,1","-0,1"
"126,0","0,0","24,3","44,0","10,0","2,0","0,0","1003,7","4,0","-1,0","5,8","-2,0"
"247,0","0,0","21,7","52,0","20,0","2,0","1,0","1008,2","4,0","-2,0","3,9","-1,6"
"178,0","0,0","24,0","43,0","10,0","2,0","0,0","1007,7","4,0","0,0","6,8","-1,8"
"506,0","0,0","22,9","50,0","100,0","3,0","0,0","1011,7","4,0","0,0","5,2","-1,5"
"127,0","0,0","23,0","40,0","20,0","3,0","0,0","1009,2","4,0","-2,0","5,6","-1,3"
"234,0","0,0","12,8","91,0","20,0","2,0","1,0","1001,9","4,0","-2,0","-0,3","-0,4"
"58,0","0,0","16,9","93,0","10,0","3,0","0,0","1006,0","4,0","-6,0","-1,1","0,2"
"429,0","0,0","7,8","97,0","20,0","1,0","2,0","998,0","4,0","-22,0","-1,7","-0,4"
"512,0","0,0","12,1","83,0","100,0","4,0","1,0","1012,9","4,0","6,0","-3,3","1,9"
"125,0","0,3","15,7","96,0","10,0","2,0","0,0","1006,7","4,0","-2,0","2,0","0,7"
"135,0","0,0","12,5","86,0","10,0","1,0","1,0","997,3","4,0","3,0","-0,7","-1,1"
"601,0","0,0","11,7","79,0","20,0","1,0","0,0","1002,1","4,0","-3,0","-1,5","0,3"
"605,0","0,6","11,8","87,0","20,0","2,0","1,0","1002,1","4,0","1,0","-2,3","0,2"
"231,0","0,0","6,6","94,0","20,0","1,0","0,0","1004,1","4,0","-3,0","-1,1","0,1"
"56,0","0,0","7,9","90,0","10,0","2,0","0,0","1008,3","4,0","-2,0","-1,3","0,4"
"412,0","0,0","14,9","94,0","100,0","3,0","0,0","995,1","4,0","-17,0","-1,4","0,5"
"516,0","0,0","7,5","91,0","100,0","1,0","1,0","1014,6","4,0","4,0","2,9","0,5"
"123,0","0,0","3,0","95,0","20,0","1,0","2,0","1009,7","4,0","-2,0","-1,9","0,4"
"183,0","0,0","7,4","81,0","20,0","1,0","0,0","1007,6","4,0","-5,0","-0,4","0,9"
"605,0","0,0","8,0","83,0","10,0","2,0","0,0","1007,5","4,0","0,0","-1,5","0,6"
"229,0","0,0","8,4","88,0","20,0","2,0","1,0","1008,3","4,0","-2,0","1,1","0,3"
"52,0","0,0","8,5","93,0","10,0","2,0","1,0","1012,5","4,0","-4,0","0,9","0,3"
"400,0","0,0","7,1","88,0","100,0","2,0","2,0","1000,7","4,0","-12,0","-1,8","0,9"
"518,0","0,0","11,3","92,0","100,0","2,0","1,0","1016,5","4,0","2,0","-1,0","0,6"
"122,0","0,4","9,3","93,0","20,0","1,0","1,0","1012,5","4,0","-1,0","0,2","0,3"
"181,0","0,0","13,3","79,0","20,0","1,0","1,0","1011,1","4,0","-2,0","3,5","0,7"
"603,0","0,0","13,8","75,0","20,0","1,0","0,0","1011,5","4,0","-2,0","2,8","0,9"
"228,0","0,1","12,5","89,0","20,0","1,0","1,0","1011,6","4,0","-1,0","3,4","0,7"
"48,0","0,0","13,7","78,0","10,0","1,0","0,0","1014,5","4,0","-4,0","7,8","0,7"
"519,0","0,6","11,4","92,0","10,0","2,0","1,0","1011,0","4,0","-12,0","7,5","1,0"
"395,0","0,0","13,8","68,0","100,0","2,0","2,0","1005,2","4,0","-5,0","9,3","0,9"
"123,0","0,0","14,7","76,0","10,0","1,0","1,0","1012,0","4,0","-1,0","6,1","-0,2"
"518,0","0,0","15,0","73,0","100,0","2,0","0,0","1020,0","4,0","0,0","8,8","0,7"
"122,0","0,0","14,3","69,0","20,0","1,0","0,0","1015,9","4,0","0,0","8,1","0,7"
"129,0","0,0","13,9","68,0","10,0","1,0","1,0","1007,5","4,0","-3,0","5,9","0,5"
"181,0","0,0","19,3","57,0","20,0","4,0","2,0","1011,8","4,0","0,0","2,9","-0,6"
