,0,2,3,4,5,6,7,8
0,adviser,125,256,6000,256,16,128,198
1,amdahl,29,8000,32000,32,8,32,269
2,amdahl,29,8000,32000,32,8,32,220
3,amdahl,29,8000,32000,32,8,32,172
4,amdahl,29,8000,16000,32,8,16,132
5,amdahl,26,8000,32000,64,8,32,318
6,amdahl,23,16000,32000,64,16,32,367
7,amdahl,23,16000,32000,64,16,32,489
8,amdahl,23,16000,64000,64,16,32,636
9,amdahl,23,32000,64000,128,32,64,1144
10,apollo,400,1000,3000,0,1,2,38
11,apollo,400,512,3500,4,1,6,40
12,basf,60,2000,8000,65,1,8,92
13,basf,50,4000,16000,65,1,8,138
14,bti,350,64,64,0,1,4,10
15,bti,200,512,16000,0,4,32,35
16,burroughs,167,524,2000,8,4,15,19
17,burroughs,143,512,5000,0,7,32,28
18,burroughs,143,1000,2000,0,5,16,31
19,burroughs,110,5000,5000,142,8,64,120
20,burroughs,143,1500,6300,0,5,32,30
21,burroughs,143,3100,6200,0,5,20,33
22,burroughs,143,2300,6200,0,6,64,61
23,burroughs,110,3100,6200,0,6,64,76
24,c.r.d,320,128,6000,0,1,12,23
25,c.r.d,320,512,2000,4,1,3,69
26,c.r.d,320,256,6000,0,1,6,33
27,c.r.d,320,256,3000,4,1,3,27
28,c.r.d,320,512,5000,4,1,5,77
29,c.r.d,320,256,5000,4,1,6,27
30,cdc,25,1310,2620,131,12,24,274
31,cdc,25,1310,2620,131,12,24,368
32,cdc,50,2620,10480,30,12,24,32
33,cdc,50,2620,10480,30,12,24,63
34,cdc,56,5240,20970,30,12,24,106
35,cdc,64,5240,20970,30,12,24,208
36,cdc,50,500,2000,8,1,4,20
37,cdc,50,1000,4000,8,1,5,29
38,cdc,50,2000,8000,8,1,5,71
39,cambex,50,1000,4000,8,3,5,26
40,cambex,50,1000,8000,8,3,5,36
41,cambex,50,2000,16000,8,3,5,40
42,cambex,50,2000,16000,8,3,6,52
43,cambex,50,2000,16000,8,3,6,60
44,dec,133,1000,12000,9,3,12,72
45,dec,133,1000,8000,9,3,12,72
46,dec,810,512,512,8,1,1,18
47,dec,810,1000,5000,0,1,1,20
48,dec,320,512,8000,4,1,5,40
49,dec,200,512,8000,8,1,8,62
50,dg,700,384,8000,0,1,1,24
51,dg,700,256,2000,0,1,1,24
52,dg,140,1000,16000,16,1,3,138
53,dg,200,1000,8000,0,1,2,36
54,dg,110,1000,4000,16,1,2,26
55,dg,110,1000,12000,16,1,2,60
56,dg,220,1000,8000,16,1,2,71
57,formation,800,256,8000,0,1,4,12
58,formation,800,256,8000,0,1,4,14
59,formation,800,256,8000,0,1,4,20
60,formation,800,256,8000,0,1,4,16
61,formation,800,256,8000,0,1,4,22
62,four-phase,125,512,1000,0,8,20,36
63,gould,75,2000,8000,64,1,38,144
64,gould,75,2000,16000,64,1,38,144
65,gould,75,2000,16000,128,1,38,259
66,hp,90,256,1000,0,3,10,17
67,hp,105,256,2000,0,3,10,26
68,hp,105,1000,4000,0,3,24,32
69,hp,105,2000,4000,8,3,19,32
70,hp,75,2000,8000,8,3,24,62
71,hp,75,3000,8000,8,3,48,64
72,hp,175,256,2000,0,3,24,22
73,harris,300,768,3000,0,6,24,36
74,harris,300,768,3000,6,6,24,44
75,harris,300,768,12000,6,6,24,50
76,harris,300,768,4500,0,1,24,45
77,harris,300,384,12000,6,1,24,53
78,harris,300,192,768,6,6,24,36
79,harris,180,768,12000,6,1,31,84
80,honeywell,330,1000,3000,0,2,4,16
81,honeywell,300,1000,4000,8,3,64,38
82,honeywell,300,1000,16000,8,2,112,38
83,honeywell,330,1000,2000,0,1,2,16
84,honeywell,330,1000,4000,0,3,6,22
85,honeywell,140,2000,4000,0,3,6,29
86,honeywell,140,2000,4000,0,4,8,40
87,honeywell,140,2000,4000,8,1,20,35
88,honeywell,140,2000,32000,32,1,20,134
89,honeywell,140,2000,8000,32,1,54,66
90,honeywell,140,2000,32000,32,1,54,141
91,honeywell,140,2000,32000,32,1,54,189
92,honeywell,140,2000,4000,8,1,20,22
93,ibm,57,4000,16000,1,6,12,132
94,ibm,57,4000,24000,64,12,16,237
95,ibm,26,16000,32000,64,16,24,465
96,ibm,26,16000,32000,64,8,24,465
97,ibm,26,8000,32000,0,8,24,277
98,ibm,26,8000,16000,0,8,16,185
99,ibm,480,96,512,0,1,1,6
100,ibm,203,1000,2000,0,1,5,24
101,ibm,115,512,6000,16,1,6,45
102,ibm,1100,512,1500,0,1,1,7
103,ibm,1100,768,2000,0,1,1,13
104,ibm,600,768,2000,0,1,1,16
105,ibm,400,2000,4000,0,1,1,32
106,ibm,400,4000,8000,0,1,1,32
107,ibm,900,1000,1000,0,1,2,11
108,ibm,900,512,1000,0,1,2,11
109,ibm,900,1000,4000,4,1,2,18
110,ibm,900,1000,4000,8,1,2,22
111,ibm,900,2000,4000,0,3,6,37
112,ibm,225,2000,4000,8,3,6,40
113,ibm,225,2000,4000,8,3,6,34
114,ibm,180,2000,8000,8,1,6,50
115,ibm,185,2000,16000,16,1,6,76
116,ibm,180,2000,16000,16,1,6,66
117,ibm,225,1000,4000,2,3,6,24
118,ibm,25,2000,12000,8,1,4,49
119,ibm,25,2000,12000,16,3,5,66
120,ibm,17,4000,16000,8,6,12,100
121,ibm,17,4000,16000,32,6,12,133
122,ibm,1500,768,1000,0,0,0,12
123,ibm,1500,768,2000,0,0,0,18
124,ibm,800,768,2000,0,0,0,20
125,ipl,50,2000,4000,0,3,6,27
126,ipl,50,2000,8000,8,3,6,45
127,ipl,50,2000,8000,8,1,6,56
128,ipl,50,2000,16000,24,1,6,70
129,ipl,50,2000,16000,24,1,6,80
130,ipl,50,8000,16000,48,1,10,136
131,magnuson,100,1000,8000,0,2,6,16
132,magnuson,100,1000,8000,24,2,6,26
133,magnuson,100,1000,8000,24,3,6,32
134,magnuson,50,2000,16000,12,3,16,45
135,magnuson,50,2000,16000,24,6,16,54
136,magnuson,50,2000,16000,24,6,16,65
137,microdata,150,512,4000,0,8,128,30
138,nas,115,2000,8000,16,1,3,50
139,nas,115,2000,4000,2,1,5,40
140,nas,92,2000,8000,32,1,6,62
141,nas,92,2000,8000,32,1,6,60
142,nas,92,2000,8000,4,1,6,50
143,nas,75,4000,16000,16,1,6,66
144,nas,60,4000,16000,32,1,6,86
145,nas,60,2000,16000,64,5,8,74
146,nas,60,4000,16000,64,5,8,93
147,nas,50,4000,16000,64,5,10,111
148,nas,72,4000,16000,64,8,16,143
149,nas,72,2000,8000,16,6,8,105
150,nas,40,8000,16000,32,8,16,214
151,nas,40,8000,32000,64,8,24,277
152,nas,35,8000,32000,64,8,24,370
153,nas,38,16000,32000,128,16,32,510
154,nas,48,4000,24000,32,8,24,214
155,nas,38,8000,32000,64,8,24,326
156,nas,30,16000,32000,256,16,24,510
157,ncr,112,1000,1000,0,1,4,8
158,ncr,84,1000,2000,0,1,6,12
159,ncr,56,1000,4000,0,1,6,17
160,ncr,56,2000,6000,0,1,8,21
161,ncr,56,2000,8000,0,1,8,24
162,ncr,56,4000,8000,0,1,8,34
163,ncr,56,4000,12000,0,1,8,42
164,ncr,56,4000,16000,0,1,8,46
165,ncr,38,4000,8000,32,16,32,51
166,ncr,38,4000,8000,32,16,32,116
167,ncr,38,8000,16000,64,4,8,100
168,ncr,38,8000,24000,160,4,8,140
169,ncr,38,4000,16000,128,16,32,212
170,nixdorf,200,1000,2000,0,1,2,25
171,nixdorf,200,1000,4000,0,1,4,30
172,nixdorf,200,2000,8000,64,1,5,41
173,perkin-elmer,250,512,4000,0,1,7,25
174,perkin-elmer,250,512,4000,0,4,7,50
175,perkin-elmer,250,1000,16000,1,1,8,50
176,prime,160,512,4000,2,1,5,30
177,prime,160,512,2000,2,3,8,32
178,prime,160,1000,4000,8,1,14,38
179,prime,160,1000,8000,16,1,14,60
180,prime,160,2000,8000,32,1,13,109
181,siemens,240,512,1000,8,1,3,6
182,siemens,240,512,2000,8,1,5,11
183,siemens,105,2000,4000,8,3,8,22
184,siemens,105,2000,6000,16,6,16,33
185,siemens,105,2000,8000,16,4,14,58
186,siemens,52,4000,16000,32,4,12,130
187,siemens,70,4000,12000,8,6,8,75
188,siemens,59,4000,12000,32,6,12,113
189,siemens,59,8000,16000,64,12,24,188
190,siemens,26,8000,24000,32,8,16,173
191,siemens,26,8000,32000,64,12,16,248
192,siemens,26,8000,32000,128,24,32,405
193,sperry,116,2000,8000,32,5,28,70
194,sperry,50,2000,32000,24,6,26,114
195,sperry,50,2000,32000,48,26,52,208
196,sperry,50,2000,32000,112,52,104,307
197,sperry,50,4000,32000,112,52,104,397
198,sperry,30,8000,64000,96,12,176,915
199,sperry,30,8000,64000,128,12,176,1150
200,sperry,180,262,4000,0,1,3,12
201,sperry,180,512,4000,0,1,3,14
202,sperry,180,262,4000,0,1,3,18
203,sperry,180,512,4000,0,1,3,21
204,sperry,124,1000,8000,0,1,8,42
205,sperry,98,1000,8000,32,2,8,46
206,sratus,125,2000,8000,0,2,14,52
207,wang,480,512,8000,32,0,0,67
208,wang,480,1000,4000,0,0,0,45
