Total issued ordinary shares,Number of shares available for sale,Number of employees,Number of shareholders,Price/Profit,Debt/Assets
7210000000.0,2870000000.0,110809.6875,3190.0,9.87,0.27
10600000000.0,1130000000.0,318000.0,28230.0,13.91,0.3
22490000000.0,10270000000.0,329570.0,61044.94871794872,4.08,0.25
499520000.0,196420000.0,59380.0,81.0,2.91,1.31
9520000000.0,130995969238.24884,110809.6875,61044.94871794872,15.525191256830603,0.35
1300000000.0,130995969238.24884,110809.6875,61044.94871794872,9.53,0.71
1300000000.0,578390000.0,110809.6875,11080.0,10.33,0.54
660500000.0,318690000.0,110809.6875,46.0,9.54,0.18
7360000000.0,1700000000.0,110809.6875,3190.0,15.525191256830603,0.51
356000000.0,130995969238.24884,110809.6875,61044.94871794872,107.97,0.19
2250000000.0,130995969238.24884,110809.6875,61044.94871794872,7.9,0.1
200590000000.0,18240000000.0,110809.6875,282520.0,1.71,0.22
3040000000.0,130995969238.24884,110809.6875,61044.94871794872,33.14,0.07
2250000000.0,130995969238.24884,110809.6875,61044.94871794872,11.17,0.05
4720000000.0,180750000.0,110809.6875,8300.0,4.55,0.24
63050000000.0,10260000000.0,4360.0,301610.0,4.77,0.0
734310000.0,130995969238.24884,110809.6875,61044.94871794872,14.82,0.68
3010000000.0,739070000.0,13690.0,127.0,20.74,0.15
11170000000.0,1760000000.0,110809.6875,5040.0,8.52,0.1
12956590000000.0,130995969238.24884,110809.6875,61044.94871794872,2.86,0.15
499220000.0,130995969238.24884,110809.6875,61044.94871794872,15.525191256830603,1.3
178260000.0,73950000.0,110809.6875,10.0,2.75,0.0
319250000.0,261140000.0,5460.0,61044.94871794872,31.71,0.24
158250000.0,67880000.0,110809.6875,38590.0,15.3,0.48
3020000000.0,1090000000.0,7260.0,127.0,24.0,0.41
5990000000.0,130995969238.24884,110809.6875,61044.94871794872,4.22,0.29
652500000.0,130995969238.24884,110809.6875,61044.94871794872,10.33,0.1
703200000.0,126930000.0,110809.6875,693.0,4.58,0.31
177790000.0,474700.0,110809.6875,10.0,19.35,0.32
435440000000.0,130995969238.24884,110809.6875,61044.94871794872,7.07,0.21
11170000000.0,1420000000.0,110809.6875,5040.0,5.02,0.08
2250000000.0,1440000000.0,53000.0,40170.0,8.99,0.23
652500000.0,130995969238.24884,110809.6875,61044.94871794872,11.51,0.1
73540000000.0,25180000000.0,48690.0,356090.0,4.55,0.08
135000000.0,130995969238.24884,110809.6875,61044.94871794872,10.3,0.47
660500000.0,36540000.0,110809.6875,46.0,35.95,0.25
1260940000000.0,236970000000.0,110809.6875,407910.0,15.525191256830603,0.28
9510000000.0,3060000000.0,110809.6875,94.0,37.93,0.63
4720000000.0,203860000.0,110809.6875,8300.0,5.04,0.26
422440000000.0,80580000000.0,69670.0,306350.0,6.57,0.21
422440000000.0,130995969238.24884,110809.6875,61044.94871794872,18.53,0.21
735270000.0,130995969238.24884,110809.6875,61044.94871794872,15.525191256830603,0.61
11170000000.0,130995969238.24884,110809.6875,61044.94871794872,16.61,0.14
63050000000.0,130995969238.24884,110809.6875,61044.94871794872,11.89,0.0
15190000000.0,130995969238.24884,110809.6875,61044.94871794872,5.01,0.38
1260940000000.0,130995969238.24884,110809.6875,61044.94871794872,2.58,0.18
11150000000.0,1430000000.0,110809.6875,5040.0,15.525191256830603,0.33
158250000.0,58510000.0,110809.6875,38590.0,13.43,0.54
97670000.0,62790000.0,316000.0,35.0,16.77,0.54
2280000000.0,130995969238.24884,110809.6875,61044.94871794872,14.94,0.84
837720000.0,147400000.0,110809.6875,23560.0,13.26,0.41
735520000.0,410690000.0,110809.6875,11.0,11.25,0.58
200590000000.0,19530000000.0,110809.6875,282520.0,3.62,0.21
73720000000.0,24760000000.0,48450.0,356090.0,4.34,0.08
1260940000000.0,130995969238.24884,110809.6875,61044.94871794872,3.33,0.18
5990000000.0,957120000.0,27130.0,8189.999999999999,10.43,0.21
364470000000.0,78560000000.0,5630.0,306350.0,7.85,0.2
101910000.0,64550000.0,276290.0,35.0,16.98,0.24
11170000000.0,1760000000.0,110809.6875,5040.0,5.82,0.07
1770000000.0,130995969238.24884,110809.6875,61044.94871794872,9.75,0.63
22510000000.0,10270000000.0,325070.0,61044.94871794872,7.22,0.11
43430000000.0,35590000000.0,110809.6875,31220.0,1.15,0.02
2250000000.0,1350000000.0,110809.6875,40170.0,8.89,0.06
2250000000.0,130995969238.24884,110809.6875,61044.94871794872,13.72,0.83
736690000.0,234680000.0,110809.6875,11.0,11.72,0.6
356850000.0,130995969238.24884,110809.6875,61044.94871794872,15.525191256830603,0.24
317640000.0,244240000.0,5620.0,61044.94871794872,13.01,0.28
19400000.0,8750000.0,110809.6875,29.0,7.14,0.32
3020000000.0,1130000000.0,6750.0,127.0,35.22,0.35
9540000000.0,130995969238.24884,110809.6875,61044.94871794872,14.04,0.31
1830000000.0,819090000.0,65370.00000000001,894.0,46.58,0.57
652500000.0,130995969238.24884,110809.6875,61044.94871794872,228.89,0.11
23640000000.0,130995969238.24884,110809.6875,61044.94871794872,7.38,0.21
5990000000.0,130995969238.24884,110809.6875,61044.94871794872,6.15,0.25
200590000000.0,130995969238.24884,110809.6875,61044.94871794872,8.02,0.2
196280000000.0,-123370000000.0,110809.6875,282520.0,3.01,0.24
5990000000.0,866620000.0,60100.0,8189.999999999999,8.86,0.27
5990000000.0,130995969238.24884,110809.6875,61044.94871794872,16.95,0.35
129500000.0,130995969238.24884,110809.6875,61044.94871794872,25.47,0.54
350070000.0,130995969238.24884,110809.6875,61044.94871794872,128.22,0.19
7210000000.0,130995969238.24884,110809.6875,61044.94871794872,16.59,0.41
435440000000.0,130995969238.24884,110809.6875,61044.94871794872,9.28,0.2
22130000000.0,9520000000.0,466100.0,45660.0,2.32,0.18
23640000000.0,11740000000.0,473800.0,45660.0,4.8,0.19
3000000000.0,130995969238.24884,110809.6875,61044.94871794872,15.525191256830603,0.07
1730000000.0,130995969238.24884,110809.6875,61044.94871794872,8.33,0.61
63050000000.0,10260000000.0,4580.0,301610.0,9.29,0.02
12956590000000.0,130995969238.24884,110809.6875,61044.94871794872,3.59,0.15
9400000000.0,3120000000.0,110809.6875,94.0,15.525191256830603,0.53
10600000000.0,130995969238.24884,110809.6875,61044.94871794872,9.32,0.27
4720000000.0,130995969238.24884,110809.6875,61044.94871794872,6.27,0.18
3000000000.0,130995969238.24884,110809.6875,61044.94871794872,46.62,0.11
12956590000000.0,130995969238.24884,110809.6875,61044.94871794872,2.26,0.13
703200000.0,126930000.0,110809.6875,693.0,15.525191256830603,0.51
23640000000.0,130995969238.24884,110809.6875,61044.94871794872,11.23,0.21
22480000000.0,130995969238.24884,110809.6875,61044.94871794872,7.19,0.12
190660000.0,13440000.0,110809.6875,33190.0,15.525191256830603,0.36
4720000000.0,203860000.0,110809.6875,8300.0,5.53,0.27
35730000000.0,130995969238.24884,110809.6875,61044.94871794872,2.65,0.0
469370000.0,176610000.0,11460.0,61044.94871794872,13.9,0.5
4720000000.0,203860000.0,110809.6875,8300.0,6.62,0.33
158250000.0,59460000.0,110809.6875,38590.0,10.92,0.55
73540000000.0,130995969238.24884,110809.6875,61044.94871794872,5.06,0.11
2250000000.0,1290000000.0,1660.0,15.0,12.08,0.8
435440000000.0,130995969238.24884,110809.6875,61044.94871794872,11.41,0.21
5990000000.0,130995969238.24884,110809.6875,61044.94871794872,13.85,0.34
177790000.0,56590000.0,110809.6875,10.0,8.53,0.21
9440000000.0,3100000000.0,110809.6875,94.0,15.525191256830603,0.47
12958040000000.0,130995969238.24884,110809.6875,61044.94871794872,15.525191256830603,0.17
825450000.0,130995969238.24884,110809.6875,61044.94871794872,8.08,0.36
2260000000.0,130995969238.24884,110809.6875,61044.94871794872,15.03,0.84
22130000000.0,9540000000.0,469600.0,45660.0,4.04,0.18
1260940000000.0,229530000000.0,110809.6875,407910.0,2.92,0.19
404780000.0,130995969238.24884,110809.6875,61044.94871794872,44.45,1.52
23640000000.0,130995969238.24884,110809.6875,61044.94871794872,7.83,0.21
15190000000.0,1500000000.0,48550.0,4.0,9.53,0.43
352270000.0,130995969238.24884,110809.6875,61044.94871794872,63.65,0.19
22510000000.0,10270000000.0,330680.0,61044.94871794872,10.21,0.14
1300000000.0,530800000.0,110809.6875,11080.0,15.525191256830603,0.62
2400000000.0,130995969238.24884,110809.6875,61044.94871794872,15.525191256830603,0.65
15190000000.0,1530000000.0,56610.0,4.0,4.94,0.61
5990000000.0,957120000.0,110809.6875,8189.999999999999,6.71,0.21
1300000000.0,130995969238.24884,110809.6875,61044.94871794872,15.525191256830603,0.71
739000000.0,130995969238.24884,110809.6875,11.0,15.525191256830603,0.33
133200000.0,28310000.0,19670.0,33190.0,7.61,0.61
322620000.0,263730000.00000003,6270.0,61044.94871794872,63.64,0.16
11170000000.0,130995969238.24884,110809.6875,61044.94871794872,4.73,0.12
712930000.0,352010000.0,110809.6875,39210.0,5.74,0.17
754870000.0,412780000.0,110809.6875,39210.0,4.01,0.16
837720000.0,130995969238.24884,110809.6875,61044.94871794872,7.28,0.27
2250000000.0,1450000000.0,54000.0,40170.0,8.75,0.07
15190000000.0,1530000000.0,56750.0,4.0,55.05,0.64
1770000000.0,771420000.0,62880.0,894.0,10.51,0.6
63050000000.0,10260000000.0,110809.6875,301610.0,8.44,0.0
84400000000.0,25150000000.0,51100.0,356090.0,4.11,0.13
1260940000000.0,229530000000.0,110809.6875,407910.0,2.01,0.2
34209280000000.0,3997150000000.0,101070.0,61044.94871794872,15.525191256830603,0.38
198830000000.0,130995969238.24884,110809.6875,61044.94871794872,5.14,0.2
422440000000.0,103880000000.0,70480.0,306350.0,12.23,0.19
9480000000.0,3330000000.0,110809.6875,94.0,15.525191256830603,0.53
35730000000.0,35590000000.0,110809.6875,31220.0,16.98,0.05
324730000.0,276830000.0,8770.0,61044.94871794872,11.79,0.07
357380000.0,130995969238.24884,110809.6875,61044.94871794872,120.71,0.19
535941309876.8473,130995969238.24884,110809.6875,61044.94871794872,4.06,0.29
2250000000.0,1290000000.0,1710.0,15.0,9.24,0.81
10580000000.0,130995969238.24884,110809.6875,61044.94871794872,7.91,0.29
16329999.999999998,4530000.0,110809.6875,29.0,18.64,0.27
132360000.0,22260000.0,19940.0,33190.0,25.27,0.66
825450000.0,130995969238.24884,110809.6875,61044.94871794872,7.89,0.37
22480000000.0,130995969238.24884,110809.6875,61044.94871794872,6.61,0.12
9380000000.0,2990000000.0,110809.6875,94.0,15.525191256830603,0.62
1274670000000.0,243260000000.0,110809.6875,407910.0,2.79,0.23
415250000.0,130995969238.24884,110809.6875,61044.94871794872,15.525191256830603,1.55
4720000000.0,130995969238.24884,110809.6875,61044.94871794872,8.11,0.22
199110000000.0,20880000000.0,110809.6875,282520.0,1.61,0.24
179530000.0,74950000.0,110809.6875,10.0,12.54,0.0
660500000.0,116410000.0,110809.6875,46.0,5.89,0.3
4720000000.0,130995969238.24884,110809.6875,61044.94871794872,5.17,0.22
4720000000.0,180750000.0,110809.6875,8300.0,4.31,0.23
11170000000.0,1760000000.0,110809.6875,5040.0,6.77,0.07
23640000000.0,130995969238.24884,110809.6875,61044.94871794872,7.73,0.22
535941309876.8473,130995969238.24884,110809.6875,61044.94871794872,15.525191256830603,0.33224938875305626
4740000000.0,130995969238.24884,110809.6875,61044.94871794872,7.26,0.18
13950000.0,3770000.0,110809.6875,29.0,5.97,0.27
420820000.0,144660000.0,110809.6875,61044.94871794872,15.525191256830603,0.45
3000000000.0,130995969238.24884,110809.6875,61044.94871794872,7.23,0.09
712930000.0,351040000.0,110809.6875,39210.0,11.89,0.14
682860000.0,41700000.0,110809.6875,693.0,8.31,0.0
