name;base_fond;science_fond;ams;n_buildings;n_days;guests;employees
Курганинский исторический музей;23093;4111;0;1;308;17.8;18
Таманский музейный комплекс;16451;5476;14625;7;314;102.2;40
Музей истории и краеведения г.Лабинска;21181;2016;0;1;247;28.3;18
Дом-музей А.Киселева г.Туапсе;3846;1196;5042;1;360;54.4;10
Красногвардейский историко-краеведческий музей;10778;6650;3183;2;247;7.9;5
Гиагинский районный краеведческий музей  им.П.П.Тынченко;17276;5434;4265;1;254;10.2;3
Краснодарский выставочный зал ИЗО;641;170;0;1;302;131.4;29
Краеведческий музей г.Адыгейска;3784;630;3784;1;254;2.7;2
Алтайский гос.мемориальный музей Г.С.Титова;7668;2430;1234;3;310;19.8;20
Колыванский музей истории камнерезного дела на Алтае;1517;942;0;1;265;5.8;3
Рубцовская картинная галерея им.В.В.Тихонова;1126;130;0;3;268;19.9;11
Благовещенский краеведческий музей;5057;3888;0;1;297;5.6;2
Гос.музей истории литературы, искусства и культуры Алтая;70245;10841;81086;4;257;16.8;51
Новозыбковский краеведческий музей;44734;5316;5500;5;320;32.6;8
Естественно-исторический музей п.Посьет;3018;40;0;1;120;0.3;1
Республиканский музей Боевой Славы;6051;6896;0;1;320;42.4;24
Музей Зеленограда;30813;17137;47950;4;308;19.9;26
Трубчевский краеведческий музей;29902;517;0;2;312;21.3;14
Клетнянский краеведческий музей;4531;561;0;1;312;10;4
Севский краеведческий музей;18698;1669;0;1;312;10.6;8
Суражский краеведческий музей;3976;2236;0;1;312;12.8;6
Вилегодский районный краеведческий музей;12464;3610;110;4;258;7.2;15
Чернянский историко-краеведческий музей;4785;1053;4203;1;313;14.4;5
Крыловский исторический музей;3226;2830;0;1;235;6.8;2
Ист.-краеведческий музей г.Полярного;11289;20142;5877;1;253;15;22
Киржачский ист.-краеведческий и художественный музей;52060;10083;52060;4;299;16.5;8
Вязниковский ист.-художественный музей;22446;4740;884;2;322;6.1;12
Гороховецкий ист.-архитектурный музей;12735;1567;5807;5;313;28.4;30
Мемор.дом-музей усадьба Н.Е.Жуковского;8191;2010;3272;2;299;11.7;8
Ковровский историко-мемориальный музей;56387;5354;19083;6;301;52.9;35
Муромский историко-художественный музей;69313;24737;32040;10;365;48.1;66
Музей памяти Лопасненского края;1478;1576;284;1;247;60;6
"Гос.музей-заповедник ""Царицыно""";41704;16138;57842;67;313;1105.1;544
Александровский художественный музей;17772;8501;150;6;362;25.4;28
"Гос. историко-мемориальный музей ""Смольный""";34649;5591;20981;5;365;43.6;20
Гос.культурный центр-музей В.С.Высоцкого;29556;23243;22703;1;306;30;38
Мемориальный музей немецких антифашистов в г.Красногорске;21042;26266;47304;2;312;10.7;15
Моск.гос. картинная галерея А.Шилова;1151;18703;9168;4;315;124.6;56
Дом-музей Ш.А.Худайбердина;400;715;1115;1;274;3.5;4
Музей истории города Кандалакши;2108;1811;3919;1;247;11.8;4
Музей истории крестьянства и��.А.М.Ронжина;7124;2975;0;1;272;10.6;9
Кильмезский краеведческий музей;2854;1511;0;1;248;10.3;4
Куменский районный краеведческий музей;1968;3250;0;1;254;6.5;3
Юрьев-Польский ист.-архитектурный и художественный музей;12157;4264;1328;17;316;34.9;28
Литературно-художественный музей М.И. и А.И.Цветаевых;14166;24594;0;4;364;8;14
Владимирский обл.центр изобразит.иск-ва;1774;0;1774;1;309;26.5;49
Быковский историко-краеведческий музей;3914;909;1230;1;247;5.3;5
Волгоград.обл.детская художеств.галерея;23002;0;0;2;247;28;29
Ленинский районный музей;1889;573;1889;1;247;6.6;3
"Гос. музей-заповедник ""Старая Сарепта""";43177;8940;18960;26;305;213;110
Волгоградский обл.краеведческий музей;119701;35580;70975;3;309;63.6;77
Урюпинский художественно-краеведческий музей;11599;7076;12296;3;249;20.2;12
Калачевский филиал;7636;3542;7636;2;293;4.3;4
Волжский музейно-выставочный комплекс;49274;21805;2643;4;248;63.5;26
Камышинский ист.-краеведческий музей;42619;18562;36389;3;255;52.9;30
Серафимовичcкий литературно-краеведческий музей;25442;13294;160;3;308;16;7
Волгоградский музей изоискусств;7712;2488;10200;4;356;43;78
Пижанский краеведческий музей;3420;7791;0;1;255;9;3
Орловский краеведческий музей;3549;1984;1003;2;271;3;5
Белгородский гос.музей народной культуры;21310;1481;21310;2;313;33.8;57
Барабинский краеведческий музей;14116;8477;2500;1;297;23.4;13
Кочковский историко-краеведческий музей;7358;6887;460;1;247;3.7;5
Чановский краеведческий музей;4586;1808;700;1;299;2.9;6
Болотнинский ист.-краеведческий музей;3869;2253;470;1;299;13.3;8
Маслянинский ист.-краеведческий музей;2116;2073;1557;1;232;4.5;4
Мошковский краеведческий музей;3267;3633;500;1;259;7.4;4
Краеведческий музей Купинского района;2522;1262;450;1;316;18;10
Бугленский краеведческий музей;1660;405;0;1;300;7.1;5
Тотемское музейное объединение;62109;15283;23360;9;315;72.7;16
Бабушкинский районный исторический музей;769;37;769;1;259;2.8;4
Вытегорский объединенный музей;41794;34586;7199;12;291;44.6;14
Устюженский краеведческий музей;44522;11068;19004;2;258;12.7;15
Музей фресок Дионисия;9580;1635;11215;17;335;71.6;39
Белозерский обл.краеведческий музей;14175;8349;9503;7;323;33;42
Вологодская обл.картинная галерея;37616;1640;36719;6;257;73.1;73
