country;region;population;area;coastline;infant_mortality;gdp;literacy;phones;arable;birthrate;deathrate
Afghanistan ;ASIA (EX. NEAR EAST)         ;31056997;647500;0;163,07;700;36;3,2;12,13;46,6;20,34
Albania ;EASTERN EUROPE                     ;3581655;28748;1,26;21,52;4500;86,5;71,2;21,09;15,11;5,22
Algeria ;NORTHERN AFRICA                    ;32930091;2381740;0,04;31;6000;70;78,1;3,22;17,14;4,61
American Samoa ;OCEANIA                            ;57794;199;58,29;9,27;8000;97;259,5;10;22,46;3,27
Andorra ;WESTERN EUROPE                     ;71201;468;0;4,05;19000;100;497,2;2,22;8,71;6,25
Angola ;SUB-SAHARAN AFRICA                 ;12127071;1246700;0,13;191,19;1900;42;7,8;2,41;45,11;24,2
Anguilla ;LATIN AMER. & CARIB    ;13477;102;59,8;21,03;8600;95;460;0;14,17;5,34
Antigua & Barbuda ;LATIN AMER. & CARIB    ;69108;443;34,54;19,46;11000;89;549,9;18,18;16,93;5,37
Argentina ;LATIN AMER. & CARIB    ;39921833;2766890;0,18;15,18;11200;97,1;220,4;12,31;16,73;7,55
Armenia ;C.W. OF IND. STATES ;2976372;29800;0;23,28;3500;98,6;195,7;17,55;12,07;8,23
Aruba ;LATIN AMER. & CARIB    ;71891;193;35,49;5,89;28000;97;516,1;10,53;11,03;6,68
Australia ;OCEANIA                            ;20264082;7686850;0,34;4,69;29000;100;565,5;6,55;12,14;7,51
Austria ;WESTERN EUROPE                     ;8192880;83870;0;4,66;30000;98;452,2;16,91;8,74;9,76
Azerbaijan ;C.W. OF IND. STATES ;7961619;86600;0;81,74;3400;97;137,1;19,63;20,74;9,75
Bahamas, The ;LATIN AMER. & CARIB    ;303770;13940;25,41;25,21;16700;95,6;460,6;0,8;17,57;9,05
Bahrain ;NEAR EAST                          ;698585;665;24,21;17,27;16900;89,1;281,3;2,82;17,8;4,14
Bangladesh ;ASIA (EX. NEAR EAST)         ;147365352;144000;0,4;62,6;1900;43,1;7,3;62,11;29,8;8,27
Barbados ;LATIN AMER. & CARIB    ;279912;431;22,51;12,5;15700;97,4;481,9;37,21;12,71;8,67
