Total issued ordinary shares,Number of shares available for sale,Number of employees,Number of shareholders,Price/Profit,Debt/Assets
364470000000.0,101760000000.0,5840.0,306350.0,7.86,0.21608638097460198
696890000.0,433970000.0,110809.6875,39210.0,5.67,0.3429541619590322
15800000.0,3880000.0,110809.6875,29.0,7.06,0.36851542249534414
129500000.0,35730000.0,110809.6875,25.0,14.94,0.36569291948545085
2400000000.0,130995969238.24884,110809.6875,61044.94871794872,15.525191256830604,0.32594312524068203
10600000000.0,3190000000.0,335000.0,28230.0,6.73,0.2352993159549598
416270000.0,130995969238.24884,110809.6875,61044.94871794872,2.57,0.33060241332178153
5990000000.0,130995969238.24884,110809.6875,61044.94871794872,14.1,0.3264257485069075
810620000.0,142630000.0,110809.6875,23560.0,7.03,0.35287157964659094
1300000000.0,526100000.0,110809.6875,11080.0,15.525191256830604,0.3581257153408989
43430000000.0,35590000000.0,110809.6875,31220.0,1.94,0.34955342526266664
837720000.0,130995969238.24884,110809.6875,61044.94871794872,4.9,0.3297639286801538
200590000000.0,130995969238.24884,110809.6875,61044.94871794872,3.17,0.3288135102127009
12956590000000.0,2842050000000.0,110809.6875,61044.94871794872,3.17,0.2504562794178195
2400000000.0,130995969238.24884,110809.6875,61044.94871794872,15.525191256830604,0.32594312524068203
7360000000.0,2500000000.0,38100.0,3190.0,5.46,0.40409094932801454
129500000.0,130995969238.24884,110809.6875,61044.94871794872,12.16,0.32716720432955304
326300000.0,275020000.0,7450.0,61044.94871794872,70.7,0.3579233261616057
94650000.0,54760000.0,110809.6875,35.0,17.87,0.36463646032652336
471820000.0,290660000.0,12060.0,61044.94871794872,9.37,0.37755069172721295
17260000.0,5950000.0,110809.6875,29.0,45.4,0.35477274189183705
415250000.0,130995969238.24884,110809.6875,61044.94871794872,15.525191256830604,0.3259587300564662
11170000000.0,130995969238.24884,110809.6875,61044.94871794872,3.73,0.33010207032986627
499520000.0,125570000.0,110809.6875,81.0,12.7,0.3664564051478906
7210000000.0,130995969238.24884,110809.6875,61044.94871794872,11.35,0.32740187333501186
1260940000000.0,236970000000.0,110809.6875,407910.0,3.76,0.0904373816878916
2250000000.0,130995969238.24884,110809.6875,61044.94871794872,7.82,0.3287061726964724
73710000000.0,130995969238.24884,110809.6875,61044.94871794872,4.05,0.32949565683358284
129500000.0,130995969238.24884,110809.6875,61044.94871794872,15.77,0.32587322686474907
9510000000.0,130995969238.24884,110809.6875,61044.94871794872,18.87,0.32468830222783424
1260940000000.0,130995969238.24884,110809.6875,61044.94871794872,4.63,0.31995333244396545
1260940000000.0,130995969238.24884,110809.6875,61044.94871794872,3.21,0.32046232080962245
415250000.0,198680000.0,56180.0,81.0,13.08,0.39422757585286744
101910000.0,130995969238.24884,110809.6875,61044.94871794872,15.79,0.3258662749369961
739000000.0,130995969238.24884,110809.6875,61044.94871794872,15.525191256830604,0.3259561846179424
129500000.0,130995969238.24884,110809.6875,61044.94871794872,10.3,0.32783390740006146
837720000.0,174500000.0,110809.6875,23560.0,15.525191256830604,0.3498265867496285
11170000000.0,130995969238.24884,110809.6875,61044.94871794872,11.55,0.3272990498936428
2250000000.0,1350000000.0,110809.6875,40170.0,7.84,0.34153308689569933
94640000.0,49960000.0,110809.6875,35.0,19.14,0.36418119957956613
10600000000.0,3190000000.0,325600.0,28230.0,8.22,0.23956697692780343
4720000000.0,130995969238.24884,110809.6875,61044.94871794872,11.95,0.3272063851007493
2250000000.0,130995969238.24884,110809.6875,61044.94871794872,10.63,0.32769894924048926
2250000000.0,130995969238.24884,110809.6875,61044.94871794872,8.03,0.32863089976915694
