Total issued ordinary shares,Number of shares available for sale,Number of employees,Number of shareholders,Price/Profit,Debt/Assets
364470000000.0,101760000000.0,5840.0,306350.0,7.86,0.21626239546129492
696890000.0,433970000.0,110809.6875,39210.0,5.67,0.3514362859197049
15800000.0,3880000.0,110809.6875,29.0,7.06,0.3781765826492753
129500000.0,35730000.0,110809.6875,25.0,14.94,0.376188079633457
2400000000.0,130995969238.24884,110809.6875,61044.94871794872,15.525191256830604,0.33244387228661454
10600000000.0,3190000000.0,335000.0,28230.0,6.73,0.2468105618259714
416270000.0,130995969238.24884,110809.6875,61044.94871794872,2.57,0.33572326329777313
5990000000.0,130995969238.24884,110809.6875,61044.94871794872,14.1,0.33279151626672304
810620000.0,142630000.0,110809.6875,23560.0,7.03,0.36191377715558526
1300000000.0,526100000.0,110809.6875,11080.0,15.525191256830604,0.3683890204279284
43430000000.0,35590000000.0,110809.6875,31220.0,1.94,0.35737662388008856
837720000.0,130995969238.24884,110809.6875,61044.94871794872,4.9,0.33513323977691845
200590000000.0,130995969238.24884,110809.6875,61044.94871794872,3.17,0.33488209527122464
12956590000000.0,2842050000000.0,110809.6875,61044.94871794872,3.17,0.26179776849191166
2400000000.0,130995969238.24884,110809.6875,61044.94871794872,15.525191256830604,0.33244387228661454
7360000000.0,2500000000.0,38100.0,3190.0,5.46,0.41262999549658724
129500000.0,130995969238.24884,110809.6875,61044.94871794872,12.16,0.3333017611998756
326300000.0,275020000.0,7450.0,61044.94871794872,70.7,0.37150121628034033
94650000.0,54760000.0,110809.6875,35.0,17.87,0.3754409473831817
471820000.0,290660000.0,12060.0,61044.94871794872,9.37,0.384692198760436
17260000.0,5950000.0,110809.6875,29.0,45.4,0.3684916473704753
415250000.0,130995969238.24884,110809.6875,61044.94871794872,15.525191256830604,0.3324507098100658
11170000000.0,130995969238.24884,110809.6875,61044.94871794872,3.73,0.3353931935971996
499520000.0,125570000.0,110809.6875,81.0,12.7,0.3767129655193938
7210000000.0,130995969238.24884,110809.6875,61044.94871794872,11.35,0.33348197939678537
1260940000000.0,236970000000.0,110809.6875,407910.0,3.76,0.09016543589972911
2250000000.0,130995969238.24884,110809.6875,61044.94871794872,7.82,0.3343907653698593
73710000000.0,130995969238.24884,110809.6875,61044.94871794872,4.05,0.3350969075464105
129500000.0,130995969238.24884,110809.6875,61044.94871794872,15.77,0.3323898541086017
9510000000.0,130995969238.24884,110809.6875,61044.94871794872,18.87,0.3315744598923161
1260940000000.0,130995969238.24884,110809.6875,61044.94871794872,4.63,0.33086035309591955
1260940000000.0,130995969238.24884,110809.6875,61044.94871794872,3.21,0.33121905339221014
415250000.0,198680000.0,56180.0,81.0,13.08,0.40387994571024444
101910000.0,130995969238.24884,110809.6875,61044.94871794872,15.79,0.33238489704013247
739000000.0,130995969238.24884,110809.6875,61044.94871794872,15.525191256830604,0.3324495944815774
129500000.0,130995969238.24884,110809.6875,61044.94871794872,10.3,0.33377160806684775
837720000.0,174500000.0,110809.6875,23560.0,15.525191256830604,0.35976740629913545
11170000000.0,130995969238.24884,110809.6875,61044.94871794872,11.55,0.33341781590917696
2250000000.0,1350000000.0,110809.6875,40170.0,7.84,0.35020932056865817
94640000.0,49960000.0,110809.6875,35.0,19.14,0.3751201895900831
10600000000.0,3190000000.0,325600.0,28230.0,8.22,0.2511253386591471
4720000000.0,130995969238.24884,110809.6875,61044.94871794872,11.95,0.3333389940162096
2250000000.0,130995969238.24884,110809.6875,61044.94871794872,10.63,0.3336809429525519
2250000000.0,130995969238.24884,110809.6875,61044.94871794872,8.03,0.3343377181429431
83480000000.0,27880000000.0,110809.6875,356090.0,5.29,0.1319040659906891
