Total issued ordinary shares,Number of shares available for sale,Number of employees,Number of shareholders,Price/Profit,Debt/Assets
364470000000.0,101760000000.0,5840.0,306350.0,7.86,0.21913764304034591
696890000.0,433970000.0,110809.6875,39210.0,5.67,0.3552367031208876
15800000.0,3880000.0,110809.6875,29.0,7.06,0.384218631500559
129500000.0,35730000.0,110809.6875,25.0,14.94,0.38273395890113476
2400000000.0,130995969238.24886,110809.6875,61044.94871794872,15.525191256830606,0.3381923268020898
10600000000.0,3190000000.0,335000.0,28230.0,6.73,0.22388365420245415
416270000.0,130995969238.24886,110809.6875,61044.94871794872,2.57,0.34065042377873306
5990000000.0,130995969238.24886,110809.6875,61044.94871794872,14.1,0.33843763020340045
810620000.0,142630000.0,110809.6875,23560.0,7.03,0.36665744482764867
1300000000.0,526100000.0,110809.6875,11080.0,15.525191256830606,0.3743689131728092
43430000000.0,35590000000.0,110809.6875,31220.0,1.94,0.3619249650063418
837720000.0,130995969238.24886,110809.6875,61044.94871794872,4.9,0.3402079069156777
200590000000.0,130995969238.24886,110809.6875,61044.94871794872,3.17,0.33921731369911823
12956590000000.0,2842050000000.0,110809.6875,61044.94871794872,3.17,0.2784426470410675
2400000000.0,130995969238.24886,110809.6875,61044.94871794872,15.525191256830606,0.3381923268020898
7360000000.0,2500000000.0,38100.0,3190.0,5.46,0.4273144618938509
129500000.0,130995969238.24886,110809.6875,61044.94871794872,12.16,0.33884240597522247
326300000.0,275020000.0,7450.0,61044.94871794872,70.7,0.390893086729477
94650000.0,54760000.0,110809.6875,35.0,17.87,0.3821739135699002
471820000.0,290660000.0,12060.0,61044.94871794872,9.37,0.39960245097159364
17260000.0,5950000.0,110809.6875,29.0,45.4,0.37698277962230214
415250000.0,130995969238.24886,110809.6875,61044.94871794872,15.525191256830606,0.3382054135223353
11170000000.0,130995969238.24886,110809.6875,61044.94871794872,3.73,0.3403605922472669
499520000.0,125570000.0,110809.6875,81.0,12.7,0.383113248107752
7210000000.0,130995969238.24886,110809.6875,61044.94871794872,11.35,0.33894859001438615
1260940000000.0,236970000000.0,110809.6875,407910.0,3.76,0.07413728970262758
2250000000.0,130995969238.24886,110809.6875,61044.94871794872,7.82,0.3396475069203564
73710000000.0,130995969238.24886,110809.6875,61044.94871794872,4.05,0.3398878330159163
129500000.0,130995969238.24886,110809.6875,61044.94871794872,15.77,0.3381610952072297
9510000000.0,130995969238.24886,110809.6875,61044.94871794872,18.87,0.3375141844908374
1260940000000.0,130995969238.24886,110809.6875,61044.94871794872,4.63,0.3319502071612353
1260940000000.0,130995969238.24886,110809.6875,61044.94871794872,3.21,0.33221820197856206
415250000.0,198680000.0,56180.0,81.0,13.08,0.41698830948776283
101910000.0,130995969238.24886,110809.6875,61044.94871794872,15.79,0.3381575025507717
739000000.0,130995969238.24886,110809.6875,61044.94871794872,15.525191256830606,0.3382032788324855
129500000.0,130995969238.24886,110809.6875,61044.94871794872,10.3,0.33919344144017166
837720000.0,174500000.0,110809.6875,23560.0,15.525191256830606,0.3650542536608854
11170000000.0,130995969238.24886,110809.6875,61044.94871794872,11.55,0.3388847334645235
2250000000.0,1350000000.0,110809.6875,40170.0,7.84,0.35410829132128757
