Total issued ordinary shares,Number of shares available for sale,Number of employees,Number of shareholders,Price/Profit,Debt/Assets
364470000000.0,101760000000.0,5840.0,306350.0,7.86,0.21010281591903074
696890000.0,433970000.0,110809.6875,39210.0,5.67,0.34109682315346634
15800000.0,3880000.0,110809.6875,29.0,7.06,0.3677762242379466
129500000.0,35730000.0,110809.6875,25.0,14.94,0.3665415539615815
2400000000.0,130995969238.24884,110809.6875,61044.94871794872,15.525191256830604,0.3254682255487343
10600000000.0,3190000000.0,335000.0,28230.0,6.73,0.23138476218471063
416270000.0,130995969238.24884,110809.6875,61044.94871794872,2.57,0.32751672300109796
5990000000.0,130995969238.24884,110809.6875,61044.94871794872,14.1,0.3256644523453773
810620000.0,142630000.0,110809.6875,23560.0,7.03,0.35162322521829037
1300000000.0,526100000.0,110809.6875,11080.0,15.525191256830604,0.35885562151175676
43430000000.0,35590000000.0,110809.6875,31220.0,1.94,0.3470876703735499
837720000.0,130995969238.24884,110809.6875,61044.94871794872,4.9,0.32714780467446525
200590000000.0,130995969238.24884,110809.6875,61044.94871794872,3.17,0.3258915398977727
12956590000000.0,2842050000000.0,110809.6875,61044.94871794872,3.17,0.24742282535481275
2400000000.0,130995969238.24884,110809.6875,61044.94871794872,15.525191256830604,0.3254682255487343
7360000000.0,2500000000.0,38100.0,3190.0,5.46,0.4037730918755482
129500000.0,130995969238.24884,110809.6875,61044.94871794872,12.16,0.3260137600759984
326300000.0,275020000.0,7450.0,61044.94871794872,70.7,0.369857023824791
94650000.0,54760000.0,110809.6875,35.0,17.87,0.36607522488669914
471820000.0,290660000.0,12060.0,61044.94871794872,9.37,0.377075399367457
17260000.0,5950000.0,110809.6875,29.0,45.4,0.3617587416128082
415250000.0,130995969238.24884,110809.6875,61044.94871794872,15.525191256830604,0.3254834057501586
11170000000.0,130995969238.24884,110809.6875,61044.94871794872,3.73,0.3272524112613905
499520000.0,125570000.0,110809.6875,81.0,12.7,0.36685248539469933
7210000000.0,130995969238.24884,110809.6875,61044.94871794872,11.35,0.3260867354255133
1260940000000.0,236970000000.0,110809.6875,407910.0,3.76,0.08033349479588715
2250000000.0,130995969238.24884,110809.6875,61044.94871794872,7.82,0.3266787072094076
